"پاسخنامه","شناسه پاسخ دهنده","در یک سال گذشته، چند بار از آنلاین‌شاپ‌ها خرید کردی؟","آنلاین‌شاپ‌ها رو از کجا پیدا میکنید؟","از کجا به صورت آنلاین خرید میکنید؟","آخرین باری که از یک آنلاین‌شاپ خرید کردی و «راضی نبودی» یا «حس کردی کلاهبرداری بوده»، کی بوده؟","بزرگ‌ترین مشکلی که تا حالا در خرید از آنلاین‌شاپ تجربه کردی چی بوده؟","قبل از اینکه به حساب یک آنلاین‌شاپ پول واریز کنی، چقدر به نظرات کاربران اهمیت می‌دهید چطوری مطمئن می‌شی که قابل اعتماده و کلاهبردار نیست؟","نظرات کاربران رو کجا بررسی میکنید؟","بعد از اینکه یک تجربه خرید بد (تأخیر، کیفیت بد یا کلاهبرداری) داشتی، چیکار کردی؟","اگر پلتفرمی (مثل تریپ‌ادوایزر یا ترب، اما مخصوص آنلاین‌شاپ‌ها) وجود داشته باشه که بتونی قبل از خرید، نظرات و امتیازهای واقعی بقیه خریدارها رو درباره اون شاپ ببینی، چقدر ازش استفاده می‌کنی؟ (طیف خطی یا ستاره‌ای از ۱ تا ۵","بزرگ‌ترین مشکل خرید آنلاین در ایران از نظر شما چیست؟ (پاسخ تشریحی)","تاریخ شروع","تاریخ اتمام"
"https://survey.porsline.ir/n/k/IWDLI6S2/qmoRm?review_token=3130d2eb-1766-42a1-8e72-7050853e9a3a","qmoRm","۱ تا ۳ بار","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","هزینه پست زیاد؟😂 نمیدونم..","1405/03/10-01:15:35","1405/03/10-01:19:47"
"https://survey.porsline.ir/n/k/IWDLI6S2/EfRcT?review_token=b70371aa-903a-4d66-bad5-2025062e5ed9","EfRcT","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","سایت","۶ ماه تا یک سال پیش","فرستادن سایز، رنگ یا محصول اشتباه","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","هیچ قانونی برای هزینه پست نیست یا یسری سایتا همه رو یه قیمت میگیرن درحالی که ممکنه هر شهر متفاوت باشه.
بنظرم کامنت واسه هر سایت تو سایتا زیاد پیدا نمیشه اگه یه سایتی باشه که بشه قبل خرید نظراتو چک کرد خیلی عالی میشه ولی خب تا جا بیوفته یکم طول میکشه.","1405/03/09-17:27:26","1405/03/09-17:31:46"
"https://survey.porsline.ir/n/k/IWDLI6S2/0E081?review_token=eaccf477-1356-403a-b87f-8f89e224f34d","0E081","بیشتر از ۱۰ بار (مشتری دائمی)","سایت","سایت","۶ ماه تا یک سال پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","زیر پست‌هاشون کامنت اعتراضی گذاشتم","۳","پروسه ارسال
چون یا ارسال نمیشه یا بد ارسال میشه یا دیر میرسه
گاهی وقت ها عدم تطابق محصول و تصاویر چون با توجه به هزینه تصویر برداری عموما از تصویر داخل وب استفاده میشه که ممکنه با محصول در حال فروش یکسان نباشه اما برای فروشنده خیلی اهمیت نداره جزئیات محصول بنابراین از همون عکس استفاده میکنه","1405/03/09-16:56:03","1405/03/09-17:02:14"
"https://survey.porsline.ir/n/k/IWDLI6S2/fS9tP?review_token=5e701642-771c-4746-8a65-00f261319c48","fS9tP","۴ تا ۱۰ بار","اینستاگرام","اینستاگرام","۶ ماه تا یک سال پیش","تأخیر خیلی زیاد در ارسال سفارش","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","به پلیس فتا یا مراجع قانونی شکایت کردم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","","1405/03/08-11:48:58","1405/03/08-11:51:34"
"https://survey.porsline.ir/n/k/IWDLI6S2/as6j1?review_token=d967405e-0de9-4715-b597-9228115c21ff","as6j1","اصلاً خرید نکردم","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","کامنت‌های پست‌هاشون رو می‌خونم","اینستاگرام","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۴","عدم تطبیق شباهت جنس وسیله در عکس با واقعیت ","1405/03/08-11:42:36","1405/03/08-11:47:46"
"https://survey.porsline.ir/n/k/IWDLI6S2/xfgk1?review_token=580b789f-47dc-435d-ba9a-d6b1eae1230c","xfgk1","۴ تا ۱۰ بار","اینستاگرام","اینستاگرام","۱ تا ۳ ماه پیش","تأخیر خیلی زیاد در ارسال سفارش","کامنت‌های پست‌هاشون رو می‌خونم","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","احتمال کلاهبرداری و تاخیر در ارسال","1405/03/07-21:28:02","1405/03/07-21:32:36"
"https://survey.porsline.ir/n/k/IWDLI6S2/3JCbu?review_token=44c6c129-1e65-4ace-8159-6421be5617f7","3JCbu","۱ تا ۳ بار","سایت","سایت","۶ ماه تا یک سال پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","","1405/03/07-21:27:16","1405/03/07-21:29:43"
"https://survey.porsline.ir/n/k/IWDLI6S2/MaXQY?review_token=e30d1c17-42b2-4e40-9d8b-97d496d9e7d1","MaXQY","۱ تا ۳ بار","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تا حالا مشکلی نداشتم","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۲","","1405/03/05-10:35:12","1405/03/05-10:37:40"
"https://survey.porsline.ir/n/k/IWDLI6S2/TUq8Q?review_token=9f9c34a8-dcde-4dcf-b510-97d87f8e85b7","TUq8Q","اصلاً خرید نکردم","اینستاگرام","تلگرام","۱ تا ۳ ماه پیش","تأخیر خیلی زیاد در ارسال سفارش","به تعداد فالوورهاش نگاه می‌کنم","اینستاگرام","به پلیس فتا یا مراجع قانونی شکایت کردم","۴","","1405/03/04-16:24:05","1405/03/04-16:26:12"
"https://survey.porsline.ir/n/k/IWDLI6S2/37sRF?review_token=2adebbc5-5097-45d5-aced-f3ae958bacae","37sRF","اصلاً خرید نکردم","اینستاگرام","اینستاگرام","یادم نمیاد / تا حالا برام پیش نیومده","فرستادن سایز، رنگ یا محصول اشتباه","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۵ (همیشه قبل از هر خریدی چک می‌کنم)","نداشتن اعتماد بخاطر کلاهبرداری‌ها، پشتیبانی فاقد مسئولیت، سایت ضعیف و کند، برخی کامنت‌های منفی را پاک میکنند.
عشقم خرید نکردم دیگه در همین حد میدونستم😂🤦🏻‍♀️","1405/03/04-14:43:53","1405/03/04-14:55:21"
"https://survey.porsline.ir/n/k/IWDLI6S2/xDw4t?review_token=bedfde32-374a-4c4c-9ca8-720075ab67c4","xDw4t","۱ تا ۳ بار","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تا حالا مشکلی نداشتم","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","غیره","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","","1405/03/04-11:12:13","1405/03/04-11:14:59"
"https://survey.porsline.ir/n/k/IWDLI6S2/dwbIS?review_token=b4e2192e-c35a-4728-8191-dc55e4742c13","dwbIS","۴ تا ۱۰ بار","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","کیفیت پایین محصول نسبت به عکس و ویدیوها","کامنت‌های پست‌هاشون رو می‌خونم","سایت فروشگاه","زیر پست‌هاشون کامنت اعتراضی گذاشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","نبودن بازار آزاد و رقابت واقعی و نبود زیرساخت امن برای خرید با کیفیت","1405/03/04-10:42:27","1405/03/04-10:46:31"
